::1||1490376702|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376726|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376726|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376797|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376797|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376799|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376799|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376803|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490376803|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377782|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377782|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377876|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377876|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377892|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490377892|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378151|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378151|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378182|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378182|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
